000000001,1,20,3,10,2,2
000000001,2,21,2,9,1,2
000000001,3,22,3,8,1,0
000000001,4,23,3,11,1,0
000000001,5,24,3,12,1,0
000000001,6,25,5,5,2,1
000000001,7,26,6,12,1,1
000000001,8,27,3,10,2,1
000000002,1,25,10,8,2,2
000000002,2,26,12,9,1,1
000000002,9,28,13,9,0,3
000000002,10,30,9,12,2,0
000000002,11,32,12,12,2,2
000000002,12,34,13,11,1,2
000000002,13,45,8,8,2,1
000000002,14,21,10,7,2,2
000000003,3,30,12,10,2,2
000000003,4,32,13,12,0,2
000000003,9,35,17,13,0,1
000000003,10,37,11,6,1,2
000000003,15,38,8,15,2,3
000000003,16,41,10,4,3,4
000000003,17,46,10,12,2,0
000000003,18,51,8,10,2,2
000000004,5,20,8,4,0,2
000000004,6,22,10,3,1,4
000000004,11,23,8,2,0,2
000000004,12,21,8,1,0,3
000000004,15,20,7,6,1,2
000000004,16,20,10,4,0,3
000000004,19,19,5,5,0,2
000000004,20,22,8,4,0,1
000000005,5,25,5,9,2,1
000000005,6,27,5,10,2,0
000000005,11,27,4,8,3,1
000000005,12,27,3,9,0,0
000000005,15,28,5,9,2,1
000000005,16,30,5,6,3,3
000000005,19,31,7,9,2,1
000000005,20,25,5,7,1,1
000000006,7,30,11,9,2,2
000000006,8,31,12,9,2,2
000000006,13,32,10,8,3,1
000000006,14,33,10,12,2,2
000000006,17,34,10,12,2,0
000000006,18,35,14,11,3,2
000000006,19,36,15,9,2,1
000000006,20,41,10,9,3,2
000000007,7,20,6,6,0,1
000000007,8,22,6,2,1,2
000000007,13,20,6,6,0,3
000000007,14,20,3,2,0,2
000000007,17,20,6,6,0,2
000000007,18,21,4,1,0,1
000000007,19,20,6,6,0,3
000000007,20,19,2,8,0,2


